PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30053514","Columnar organization of mid-spectral and end-spectral hue preferences in human visual cortex","Nasr S, Tootell RBH.","Neuroimage. 2018 Nov 1;181:748-759. doi: 10.1016/j.neuroimage.2018.07.053. Epub 2018 Jul 25.","Nasr S","Neuroimage","2018","2018/07/28","PMC6263155","NIHMS1502947","10.1016/j.neuroimage.2018.07.053"
"29776691","A ""voice patch"" system in the primate brain for processing vocal information?","Belin P, Bodin C, Aglieri V.","Hear Res. 2018 Sep;366:65-74. doi: 10.1016/j.heares.2018.04.010. Epub 2018 May 7.","Belin P","Hear Res","2018","2018/05/20","","","10.1016/j.heares.2018.04.010"
"29618564","Postnatal Zika virus infection is associated with persistent abnormalities in brain structure, function, and behavior in infant macaques","Mavigner M, Raper J, Kovacs-Balint Z, Gumber S, O'Neal JT, Bhaumik SK, Zhang X, Habib J, Mattingly C, McDonald CE, Avanzato V, Burke MW, Magnani DM, Bailey VK, Watkins DI, Vanderford TH, Fair D, Earl E, Feczko E, Styner M, Jean SM, Cohen JK, Silvestri G, Johnson RP, O'Connor DH, Wrammert J, Suthar MS, Sanchez MM, Alvarado MC, Chahroudi A.","Sci Transl Med. 2018 Apr 4;10(435):eaao6975. doi: 10.1126/scitranslmed.aao6975.","Mavigner M","Sci Transl Med","2018","2018/04/06","PMC6186170","NIHMS990959","10.1126/scitranslmed.aao6975"
"29548849","Template-based prediction of vigilance fluctuations in resting-state fMRI","Falahpour M, Chang C, Wong CW, Liu TT.","Neuroimage. 2018 Jul 1;174:317-327. doi: 10.1016/j.neuroimage.2018.03.012. Epub 2018 Mar 13.","Falahpour M","Neuroimage","2018","2018/03/18","PMC8328148","NIHMS955711","10.1016/j.neuroimage.2018.03.012"
"29437980","Temporal-prefrontal cortical network for discrimination of valuable objects in long-term memory","Ghazizadeh A, Griggs W, Leopold DA, Hikosaka O.","Proc Natl Acad Sci U S A. 2018 Feb 27;115(9):E2135-E2144. doi: 10.1073/pnas.1707695115. Epub 2018 Feb 1.","Ghazizadeh A","Proc Natl Acad Sci U S A","2018","2018/02/14","PMC5834664","","10.1073/pnas.1707695115"
"29398365","The Basal Forebrain Regulates Global Resting-State fMRI Fluctuations","Turchi J, Chang C, Ye FQ, Russ BE, Yu DK, Cortes CR, Monosov IE, Duyn JH, Leopold DA.","Neuron. 2018 Feb 21;97(4):940-952.e4. doi: 10.1016/j.neuron.2018.01.032. Epub 2018 Feb 1.","Turchi J","Neuron","2018","2018/02/06","PMC5823771","NIHMS935143","10.1016/j.neuron.2018.01.032"
"29374172","Subcortical evidence for a contribution of arousal to fMRI studies of brain activity","Liu X, de Zwart JA, Schölvinck ML, Chang C, Ye FQ, Leopold DA, Duyn JH.","Nat Commun. 2018 Jan 26;9(1):395. doi: 10.1038/s41467-017-02815-3.","Liu X","Nat Commun","2018","2018/01/28","PMC5786066","","10.1038/s41467-017-02815-3"
"29366950","Human behavioural discrimination of human, chimpanzee and macaque affective vocalisations is reflected by the neural response in the superior temporal sulcus","Fritz T, Mueller K, Guha A, Gouws A, Levita L, Andrews TJ, Slocombe KE.","Neuropsychologia. 2018 Mar;111:145-150. doi: 10.1016/j.neuropsychologia.2018.01.026. Epub 2018 Jan 31.","Fritz T","Neuropsychologia","2018","2018/01/26","","","10.1016/j.neuropsychologia.2018.01.026"
"29299382","An interspecies comparative study of invasive electrophysiological functional connectivity","Casimo K, Levinson LH, Zanos S, Gkogkidis CA, Ball T, Fetz E, Weaver KE, Ojemann JG.","Brain Behav. 2017 Nov 22;7(12):e00863. doi: 10.1002/brb3.863. eCollection 2017 Dec.","Casimo K","Brain Behav","2017","2018/01/05","PMC5745242","","10.1002/brb3.863"
"29263238","Attention Shifts Recruit the Monkey Default Mode Network","Arsenault JT, Caspari N, Vandenberghe R, Vanduffel W.","J Neurosci. 2018 Jan 31;38(5):1202-1217. doi: 10.1523/JNEUROSCI.1111-17.2017. Epub 2017 Dec 20.","Arsenault JT","J Neurosci","2018","2017/12/22","PMC6596261","","10.1523/JNEUROSCI.1111-17.2017"
